time,ticker,open,close,high,low,volume
2024-10-01T00:00:00Z,NVDA,120.50,122.30,123.50,120.00,82000000
2024-10-02T00:00:00Z,NVDA,122.50,121.80,123.20,121.20,78000000
2024-10-03T00:00:00Z,NVDA,121.90,124.10,124.80,121.50,85000000
2024-10-04T00:00:00Z,NVDA,124.20,123.50,125.00,123.00,81000000
2024-10-07T00:00:00Z,NVDA,123.60,125.80,126.50,123.40,88000000
2024-10-08T00:00:00Z,NVDA,125.90,124.70,126.80,124.20,79000000
2024-10-09T00:00:00Z,NVDA,124.80,126.50,127.30,124.50,83000000
2024-10-10T00:00:00Z,NVDA,126.60,127.90,128.50,126.20,86000000
2024-10-11T00:00:00Z,NVDA,128.00,127.30,129.00,127.00,84000000
2024-10-14T00:00:00Z,NVDA,127.50,128.80,129.60,127.20,87000000
2024-10-15T00:00:00Z,NVDA,128.90,129.50,130.20,128.50,89000000
